EuropaBon_ID	Ref_lake	Country	Year	X_3035	Y_3035	Area_km2	Elevation	Alk	Colour	TN	TP	deg.sum	rr.av	EC	Chl_a	CALA_GLO	ELAT_HYD	ELAT_TRI	ELEO_ACI	ISOE_ECH	ISOE_LAC	LIMO_AQU	LITT_UNI	LOBE_DOR	LYTH_POR	RANU_RPT	SUBU_AQU	CALL_COP	CALL_HAM	CALL_HER	CALL_PAL	CERA_DEM	ELOD_CAN	HIPP_VUL	JUNC_BUL	MYRI_ALT	MYRI_SPI	MYRI_VER	POTA_ALP	POTA_BER	POTA_COM	POTA_CRI	POTA_FRI	POTA_GRA	POTA_LUC	POTA_OBT	POTA_PER	POTA_PRA	POTA_PUS	POTA_RUT	RANU_AQU	RANU_CIR	RANU_CON	RANU_PEL	STUC_FIL	STUC_PEC	UTRI_INT	UTRI_MIN	ZANN_PAL	LEMN_MIN	LEMN_TRI	SPIR_POL	HYDR_MOR	NUPH_LUT	NUPH_PUM	NYMP_ALB	PERS_AMP	POTA_NAT	SAGI_SFO	SPAR_ANG	SPAR_EME	SPAR_GRA	SPAR_HYP	SPAR_NAT	STRA_ALO	CHAR_ASP	CHAR_CON	CHAR_GLO	CHAR_TOM	CHAR_VIR	UTRI_V_A	NITE_O_F	CRAS_AQU	NAJA_FLE	RANU_TRI	CHAR_STR	NITE_GRA	NITE_WAH	SAGI_NAT	CHAR_HIS	NITE_MUC	CALL_STA	CHAR_CAN	CHAR_FIL	HOTT_PAL	LEMN_GIB	MYRI_SIB	NAJA_MAR	POTA_POL	CHAR_BRA	CHAR_PAP	NITE_CON	TOLY_CAN	NITE_OBT	UTRI_O_S	ELAT_ORT	STUC_VAG	ELAT_HEX	ELOD_NUT	CHAR_SUB	BALD_REP	POTA_TRI	LURO_NAT	NITE_TRA	CHAR_ACU	NYMP_PEL	NAJA_TEN	NYMP_TET	PERS_FOL	SPAR_GLO
FIN_7439_752	0	Finland	2014	5290238.233	4666090.518	13.981	195.87	0.0555	101.25	332.5	12.875	1065.685641	214.0000032	1.5875	6.079166667	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FIN_757_504	0	Finland	2010	5362422.214	4484008.347	15.1338	79.49	0.267909722	67.70416667	757.0733333	26.2890625	1236.888299	205.0000031	10.0295	11.81681667	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FIN_7677_784	0	Finland	2016	5238535.425	4637322.518	0.54231	106.57	0.068	210	525	45	1107.72642	208.0000031	2.45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIN_7727_356	0	Finland	2005	5235852.346	4633218.964	4.70669	130.97	0.057375	179.8333333	489.6666667	37.21666667	1126.213721	202.000003	2.025833333	17.805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FIN_7845_325	1	Finland	2003	5247421.426	4652556.647	1.34131	176.38	0.041	135	352.5	18	1072.181443	214.0000032	1.8	4.2	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FIN_7846_760	1	Finland	2014	5248193.843	4653523.64	0.52207	179.18	0.03065	106.4	332	13.7	1072.181443	214.0000032	1.365	4.09	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FIN_8033_967	0	Finland	2019	5267362.324	4657752.133	0.65454	187.27	0.046	135	315	15.5	1044.077911	231.0000034	1.8	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FIN_8106_511	1	Finland	2010	5274878.607	4653649.727	3.50598	197.37	0.026666667	158.3333333	372.5	19.58333333	1067.59385	227.0000034	1.516666667	6.383333333	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIN_8168_380	0	Finland	2007	5277087	4636366.027	10.8092	162.17	0.0432	69.63157895	291.775	11.40916667	1087.210693	225.0000034	2.066	4.838666667	0	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FIN_8184_428	0	Finland	2008	5295644.643	4616952.855	24.8113	94.06	0.093807692	121.4285714	517.1904762	32.84642857	1128.698576	216.0000032	2.7	16.86166667	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
